name,total,lat,lng
(주)영화앞,401,35.6338,128.42318
1차서한화성타운건너,68,35.85395,128.52944
1차서한화성타운앞,254,35.85413,128.52892
2.28기념중앙공원건너1,78824,35.87059,128.59802
2.28기념중앙공원건너2,5816,35.87032,128.59904
2.28기념중앙공원앞,154138,35.87037,128.59834
2차대자연맨션건너,903,35.81109,128.61831
2차대자연맨션앞,2960,35.81125,128.61821
2차서한화성타운건너,11911,35.8587,128.52776
2차서한화성타운앞,8339,35.85891,128.52873
2호선반월당역1,29478,35.86526,128.59562
2호선반월당역2,13880,35.86508,128.59567
CGV대구한일건너,136653,35.87074,128.59638
CGV대구한일앞,37913,35.87061,128.59666
DGB대구은행파크남편건너,478,35.88021,128.58654
DGB대구은행파크남편앞,653,35.88037,128.58659
DGB대구은행파크동편건너,2380,35.88125,128.58964
DGB대구은행파크동편앞,1748,35.88097,128.58927
e-편한세상월배건너,291,35.82736,128.5235
e-편한세상월배앞,14,35.82738,128.52325
e편한세상대구금호건너,3013,35.89889,128.5097
e편한세상대구금호앞,158,35.89956,128.50956
K-2입구,1070,35.89421,128.64488
K2관사입구(종점),122,35.90263,128.67201
KT남대구지사건너1,5954,35.83939,128.57256
KT남대구지사건너2,1452,35.83861,128.57137
KT남대구지사앞1,11555,35.83925,128.57219
KT남대구지사앞2,610,35.83762,128.5714
KT동대구지사건너,7190,35.88463,128.62614
KT동대구지사앞,5632,35.88458,128.6264
KT북대구지사건너,668,35.88118,128.58208
KT북대구지사앞,1394,35.88107,128.58306
KT상동지사건너,1242,35.83935,128.61682
KT상동지사앞,860,35.83934,128.61667
KT서대구지사건너,5976,35.87181,128.56413
KT서대구지사앞,5972,35.87196,128.56397
LG물류센터건너,1304,35.87396,128.69099
LG물류센터앞,1981,35.8742,128.68953
LH10단지아파트건너,70,35.87319,128.7498
LH10단지아파트앞,550,35.87415,128.74978
LH14단지아파트,190,35.88274,128.75202
LH5단지아파트건너,309,35.88213,128.71682
LH5단지아파트앞,165,35.88239,128.71672
LH5단지아파트후문앞,118,35.88332,128.71497
LH천년나무2단지건너,2735,35.69027,128.45327
LH천년나무2단지앞,561,35.69069,128.45306
NH농협혁신도시지점앞,2847,35.87787,128.73259
SD아이프라임강북아파트,1579,35.95042,128.55272
SK리더스뷰건너,4873,35.84021,128.62089
SK리더스뷰앞,4193,35.83987,128.62224
STX메탈건너,469,35.84637,128.49222
TBC건너,7952,35.83254,128.62373
TBC앞,2354,35.83242,128.62324
㈜윔스건너,41,35.81939,128.50738
가야농원,8,nan,nan
가창농협건너,890,35.8046,128.62313
가창농협앞,2643,35.8044,128.62317
가창댐1,0,35.79833,128.61364
가창면사무소건너,1275,35.80286,128.62222
가창면사무소앞,2397,35.80281,128.62231
가창중학교건너,185,35.77511,128.64591
가창중학교앞,19,35.77406,128.64605
가창초등학교건너,698,35.7712,128.64733
가창초등학교앞,372,35.76957,128.64831
가천동건너,2,35.85148,128.68511
가천리,2,35.65968,128.45247
가태리마을회관건너,0,35.64981,128.47282
각산비나리공원건너,904,35.87862,128.7155
각산비나리공원앞,969,35.87879,128.7157
각산역(1번출구),3315,35.86752,128.72252
각산역(2번출구),1399,35.86753,128.72309
각산푸르지오건너,851,35.8748,128.71387
각산푸르지오앞,1234,35.87418,128.71394
갈실마을회관종점,40,35.75512,128.45445
감문1리2,21,35.89421,128.42861
감문1리4,1,35.89739,128.43516
감삼네거리1,13838,35.855,128.54942
감삼네거리2,23142,35.85452,128.54914
감삼초등학교건너,4275,35.84908,128.5466
감삼초등학교앞,4397,35.84886,128.54628
갓골건너,35,35.91583,128.65968
갓바위,1094,35.97051,128.72605
강남약국건너,18715,35.87998,128.61073
강남약국앞1,15218,35.87937,128.61034
강남약국앞2,4823,35.88038,128.61138
강동중·고등학교건너,677,35.8664,128.72875
강동초교건너,169,35.86731,128.72938
강변동서마을건너,2600,35.87521,128.67887
강변동서마을앞,3335,35.87489,128.67883
강북경찰서건너,215,35.94409,128.56543
강북경찰서앞,1008,35.94382,128.56544
강북중학교앞,1535,35.93926,128.56572
강산아파트건너,1148,35.89523,128.64125
강산아파트앞,1820,35.89548,128.64089
강정보(디아크문화관)입구,181,35.84311,128.46564
강창교1,1636,35.85475,128.46886
강창교2,56,35.85474,128.46939
강창역(1번출구),4181,35.85327,128.47709
강창역(2번출구),11808,35.85298,128.47744
강창하이츠,2471,35.86209,128.46051
거동교1,474,35.94692,128.55256
거동교2,792,35.94693,128.55337
건들바위건너,208,35.85746,128.59844
건들바위앞,195,35.85825,128.59861
건영아파트건너,5966,35.89949,128.61513
건영캐스빌건너,2924,35.86884,128.49533
건영캐스빌앞,2007,35.86878,128.49552
검단동대구축협앞,1257,35.91555,128.62393
검단동주민센터1,151,35.91275,128.628
검단동행정복지센터건너,2739,35.91298,128.62574
검단유성아파트(서편),4227,35.90697,128.61862
검단유성아파트건너,3127,35.90721,128.62065
검단유성아파트앞,4312,35.90718,128.62037
경기장네거리1,6587,35.8329,128.6849
경기장네거리2,4291,35.83323,128.68528
경대교2,2459,35.88581,128.60305
경대교건너,170,35.88563,128.60053
경대사대부설고등학교앞,12708,35.86352,128.60052
경대아파트건너,17918,35.88938,128.61749
경대아파트앞,4650,35.88904,128.61721
경덕여고,990,35.86377,128.55023
경명여고건너,2911,35.87868,128.60052
경명여고앞,1176,35.8789,128.59878
경북고등학교건너,7305,35.84376,128.63881
경북고등학교앞,6680,35.84377,128.63901
경북공고건너,2791,35.85867,128.58257
경북공고앞,2528,35.8579,128.58281
경북교통,1266,35.87042,128.71369
경북교통앞,1776,35.87026,128.7137
경북기계공고건너,3718,35.82099,128.543
경북기계공고앞,4684,35.82155,128.54325
경북농업기술원건너,4,35.9569,128.56075
경북대체육센터건너,7614,35.89116,128.60661
경북대체육센터앞,3875,35.89015,128.60479
경북대학교병원건너,8967,35.86574,128.60329
경북대학교병원앞,17526,35.86523,128.60324
경북대학교북문건너,65055,35.89296,128.60977
경북대학교북문앞,38702,35.89321,128.61017
경북대학교서문건너,4457,35.88893,128.60298
경북대학교서문앞,2809,35.88882,128.60303
경북대학교정문건너,7458,35.88499,128.6145
경북대학교정문앞,21436,35.88403,128.61335
경북대학교체육센터건너2,424,35.89088,128.60511
경북대학교치과병원,13120,35.86361,128.60143
경북아파트건너(고산동),5122,nan,nan
경북아파트건너(신천동),1756,35.87667,128.63283
경북아파트앞(고산동),5181,nan,nan
경북아파트앞(신천동),1300,35.87642,128.63288
경북여상건너,5388,35.85513,128.59075
경북여상앞,10437,35.85561,128.59056
경북크랑크,2271,35.82884,128.50743
경상감영공원건너,75188,35.8727,128.59437
경상감영공원앞,64885,35.87377,128.5945
경상여자고등학교건너,1349,35.90102,128.58774
경상여자고등학교앞,3050,35.90095,128.58737
경서중학교건너,1023,35.7811,128.43409
경서중학교앞,2345,35.781,128.43414
경신고등학교건너,41976,35.85893,128.63726
경신고등학교앞,47879,35.85869,128.63775
경운초등학교건너,775,35.86316,128.55381
경운초등학교앞,1267,35.86296,128.55304
경원고등학교앞,1145,35.86477,128.52583
경일여자중학교건너,5199,35.83769,128.59899
경일여자중학교앞,1441,35.83742,128.59898
경주최씨종가(종점),32,35.90615,128.68645
경진초등학교건너,3399,35.89039,128.61909
경진초등학교앞,7685,35.89067,128.61938
경진테크빌앞,771,35.87488,128.58778
경창산업,810,35.83335,128.50715
경희강재건너,322,35.83655,128.51661
경희강재앞,1125,35.83633,128.51712
계명대대명캠퍼스후문건너,1341,35.85165,128.57985
계명대역(1번출구),1179,35.85184,128.49014
계명대역(2번출구),4561,35.85169,128.48864
계명대학교대명캠퍼스건너,8332,35.85768,128.58001
계명대학교대명캠퍼스앞,5313,35.85711,128.58085
계명대학교대명캠퍼스후문앞,1178,35.85188,128.58038
계명대학교동문건너1,12997,35.85663,128.49228
계명대학교동문건너2,43634,35.85422,128.49223
계명대학교동문앞,16998,35.85438,128.49185
계명대학교동산병원건너,2152,35.85252,128.48169
계명대학교정문건너,15435,35.85225,128.48485
계명대학교정문앞,3704,35.8526,128.48495
계명문화대학건너,8539,35.85872,128.4922
계명문화대학앞,6435,35.85852,128.49191
고모동입구,5603,35.84682,128.6737
고모역건너,77,35.85816,128.67818
고모역앞,38,35.85819,128.67822
고산2동행정복지센터건너,5618,35.84274,128.69509
고산2동행정복지센터앞,5986,35.84311,128.69464
고산골입구,1337,35.83421,128.60244
고산농협창고건너,454,35.84267,128.68947
고산농협창고앞,196,35.84244,128.6897
고산도서관,11626,35.83834,128.7109
고산정수사업소건너,418,35.83159,128.69881
고성아파트(서편),2663,35.88058,128.58058
고성아파트건너,516,35.87985,128.58195
고성아파트건너(서편),1724,35.88044,128.5803
고성아파트앞,11,35.88,128.58182
고성지구대1,304,35.87934,128.589
고성지구대2,1375,35.87946,128.58886
골안골,4,35.83078,128.56473
공고네거리1,10043,35.88161,128.61597
공고네거리2,4680,35.88141,128.61595
공단역1,8422,35.89166,128.55405
공단역2,7158,35.89163,128.55375
공산댐건너,416,35.94492,128.64692
공산댐앞,2,35.94511,128.64729
공산동행정복지센터건너,375,35.93988,128.64571
공산동행정복지센터앞,1041,35.94004,128.64552
공산초등학교건너,19,35.95608,128.69206
공산초등학교앞,834,35.95615,128.69194
공산파출소,6,35.9797,128.63393
공항시장건너,3694,35.89686,128.63784
공항시장앞,1483,35.89659,128.63788
과학마을청아람앞,3672,35.65503,128.41765
곽병원건너,47581,35.87029,128.58967
곽병원앞1,19504,35.87041,128.58964
곽병원앞2,10432,35.87035,128.58928
관리공단,175,35.72915,128.46079
관음공영주차장앞,737,35.93974,128.54444
관음농협앞,421,35.93871,128.5444
관음동행정복지센터건너,363,35.94501,128.54689
관음동행정복지센터앞,458,35.94481,128.54643
관음변전소1,1231,35.94219,128.54214
관음변전소3,67,35.94184,128.5419
관음어린이집,330,35.94333,128.5451
관음중학교(북편),559,35.94274,128.54493
광명프레지던트아파트건너,3016,35.83917,128.61207
광장타운건너,9974,35.85586,128.55272
광장타운앞,14305,35.85578,128.5515
교대부설초등학교건너,882,35.80586,128.53151
교대부설초등학교앞,126,35.80537,128.53177
교동시장앞,1589,35.87416,128.59938
교동초등학교건너,263,35.94511,128.54858
교동초등학교앞,374,35.94504,128.54856
교통연수원,3801,35.83019,128.62987
