name,total,lat,lng
(주)성안건너,44,35.91494,128.62449
(주)영화건너,13,35.63367,128.4233
1차서한화성타운건너,51,35.85395,128.52944
2.28기념중앙공원건너1,5546,35.87059,128.59802
2.28기념중앙공원건너2,1547,35.87032,128.59904
2.28기념중앙공원앞,5435,35.87037,128.59834
2차대자연맨션건너,394,35.81109,128.61831
2차대자연맨션앞,322,35.81125,128.61821
2차서한화성타운건너,1297,35.8587,128.52776
2차서한화성타운앞,3029,35.85891,128.52873
2호선반월당역1,1492,35.86526,128.59562
2호선반월당역2,1611,35.86508,128.59567
CGV대구한일건너,6633,35.87074,128.59638
CGV대구한일앞,1411,35.87061,128.59666
DGB대구은행파크남편건너,108,35.88021,128.58654
DGB대구은행파크남편앞,267,35.88037,128.58659
DGB대구은행파크동편건너,2482,35.88125,128.58964
DGB대구은행파크동편앞,169,35.88097,128.58927
e-편한세상월배앞,70,35.82738,128.52325
e편한세상대구금호건너,46,35.89889,128.5097
e편한세상대구금호앞,336,35.89956,128.50956
K-2입구,336,35.89421,128.64488
K2관사입구(종점),39,35.90263,128.67201
KT남대구지사건너1,1999,35.83939,128.57256
KT남대구지사건너2,956,35.83861,128.57137
KT남대구지사앞1,3189,35.83925,128.57219
KT남대구지사앞2,645,35.83762,128.5714
KT동대구지사건너,5977,35.88463,128.62614
KT동대구지사앞,1230,35.88458,128.6264
KT북대구지사건너,98,35.88118,128.58208
KT북대구지사앞,323,35.88107,128.58306
KT상동지사앞,544,35.83934,128.61667
KT서대구지사건너,1328,35.87181,128.56413
KT서대구지사앞,3426,35.87196,128.56397
LG물류센터건너,1601,35.87396,128.69099
LG물류센터앞,1756,35.8742,128.68953
LH10단지아파트건너,1701,35.87319,128.7498
LH10단지아파트앞,1044,35.87415,128.74978
LH14단지아파트,71,35.88274,128.75202
LH5단지아파트건너,375,35.88213,128.71682
LH5단지아파트앞,85,35.88239,128.71672
LH5단지아파트후문앞,740,35.88332,128.71497
LH천년나무2단지건너,186,35.69027,128.45327
LH천년나무2단지앞,513,35.69069,128.45306
NH농협혁신도시지점건너,75,35.87761,128.73257
NH농협혁신도시지점앞,161,35.87787,128.73259
SD아이프라임강북아파트,150,35.95042,128.55272
SK리더스뷰건너,1016,35.84021,128.62089
SK리더스뷰앞,1008,35.83987,128.62224
STX메탈건너,2681,35.84637,128.49222
STX메탈앞,1158,35.8462,128.49177
TBC건너,486,35.83254,128.62373
TBC앞,2481,35.83242,128.62324
㈜윔스건너,143,35.81939,128.50738
㈜윔스앞,7,35.81939,128.50769
가야농원,3,nan,nan
가창농협건너,894,35.8046,128.62313
가창농협앞,87,35.8044,128.62317
가창댐1,4,35.79833,128.61364
가창면사무소건너,633,35.80286,128.62222
가창면사무소앞,117,35.80281,128.62231
가창중학교앞,51,35.77406,128.64605
가창초등학교건너,147,35.7712,128.64733
각산비나리공원건너,103,35.87862,128.7155
각산비나리공원앞,92,35.87879,128.7157
각산역(1번출구),798,35.86752,128.72252
각산역(2번출구),823,35.86753,128.72309
각산푸르지오건너,983,35.8748,128.71387
각산푸르지오앞,932,35.87418,128.71394
감문1리1,2,35.89401,128.42859
감삼네거리1,1666,35.855,128.54942
감삼네거리2,5739,35.85452,128.54914
감삼초등학교건너,793,35.84908,128.5466
감삼초등학교앞,758,35.84886,128.54628
갓바위,5,35.97051,128.72605
강남약국건너,3503,35.87998,128.61073
강남약국앞1,4930,35.87937,128.61034
강남약국앞2,394,35.88038,128.61138
강동초교건너,1,35.86731,128.72938
강동초교앞,29,35.86736,128.72917
강변동서마을건너,191,35.87521,128.67887
강변동서마을앞,1158,35.87489,128.67883
강북경찰서건너,619,35.94409,128.56543
강북경찰서앞,208,35.94382,128.56544
강북중학교건너,397,35.93908,128.56577
강산아파트건너,4505,35.89523,128.64125
강산아파트앞,452,35.89548,128.64089
강창교1,131,35.85475,128.46886
강창교2,525,35.85474,128.46939
강창역(1번출구),928,35.85327,128.47709
강창역(2번출구),506,35.85298,128.47744
강창하이츠,66,35.86209,128.46051
거동교1,510,35.94692,128.55256
거동교2,297,35.94693,128.55337
건들바위건너,153,35.85746,128.59844
건들바위앞,643,35.85825,128.59861
건영아파트건너,2679,35.89949,128.61513
건영캐스빌건너,673,35.86884,128.49533
건영캐스빌앞,692,35.86878,128.49552
검단동대구축협앞,22,35.91555,128.62393
검단동주민센터1,4,35.91275,128.628
검단동주민센터2,121,35.91268,128.62808
검단동행정복지센터건너,55,35.91298,128.62574
검단동행정복지센터앞,268,35.91296,128.6259
검단상가아파트앞,43,35.91654,128.62589
검단유성아파트(서편),820,35.90697,128.61862
검단유성아파트건너,577,35.90721,128.62065
검단유성아파트앞,733,35.90718,128.62037
경기장네거리1,455,35.8329,128.6849
경기장네거리2,153,35.83323,128.68528
경대교2,344,35.88581,128.60305
경대교건너,18,35.88563,128.60053
경대교앞,685,35.88604,128.60076
경대사대부설고등학교앞,3483,35.86352,128.60052
경대아파트건너,1657,35.88938,128.61749
경대아파트앞,1970,35.88904,128.61721
경덕여고,394,35.86377,128.55023
경명여고건너,111,35.87868,128.60052
경명여고앞,445,35.8789,128.59878
경북고등학교건너,2917,35.84376,128.63881
경북고등학교앞,619,35.84377,128.63901
경북공고건너,2187,35.85867,128.58257
경북공고앞,1527,35.8579,128.58281
경북교통,2247,35.87042,128.71369
경북교통앞,1712,35.87026,128.7137
경북기계공고건너,1688,35.82099,128.543
경북기계공고앞,1839,35.82155,128.54325
경북농업기술원건너,19,35.9569,128.56075
경북농업기술원앞,0,35.95732,128.56002
경북대체육센터건너,492,35.89116,128.60661
경북대체육센터앞,3829,35.89015,128.60479
경북대학교병원건너,3325,35.86574,128.60329
경북대학교병원앞,2288,35.86523,128.60324
경북대학교북문건너,1675,35.89296,128.60977
경북대학교북문앞,5602,35.89321,128.61017
경북대학교서문건너,844,35.88893,128.60298
경북대학교서문앞,1021,35.88882,128.60303
경북대학교정문건너,3417,35.88499,128.6145
경북대학교정문앞,2513,35.88403,128.61335
경북대학교체육센터건너2,82,35.89088,128.60511
경북대학교치과병원,3931,35.86361,128.60143
경북아파트건너(고산동),1303,nan,nan
경북아파트건너(신천동),6391,35.87667,128.63283
경북아파트앞(고산동),3529,nan,nan
경북아파트앞(신천동),1492,35.87642,128.63288
경북여상건너,3957,35.85513,128.59075
경북여상앞,1566,35.85561,128.59056
경북크랑크,39,35.82884,128.50743
경상감영공원건너,5900,35.8727,128.59437
경상감영공원앞,24187,35.87377,128.5945
경상여자고등학교건너,121,35.90102,128.58774
경상여자고등학교앞,2022,35.90095,128.58737
경서중학교건너,388,35.7811,128.43409
