"행정구역","2020년01월_거주자 인구수","2020년01월_세대수","2020년01월_세대당 인구","2020년01월_남자 인구수","2020년01월_여자 인구수","2020년01월_남여 비율","2020년02월_거주자 인구수","2020년02월_세대수","2020년02월_세대당 인구","2020년02월_남자 인구수","2020년02월_여자 인구수","2020년02월_남여 비율","2020년03월_거주자 인구수","2020년03월_세대수","2020년03월_세대당 인구","2020년03월_남자 인구수","2020년03월_여자 인구수","2020년03월_남여 비율","2020년04월_거주자 인구수","2020년04월_세대수","2020년04월_세대당 인구","2020년04월_남자 인구수","2020년04월_여자 인구수","2020년04월_남여 비율"
"대구광역시 중구 (2711000000)","75,828","37,088","          2.04","36,593","39,235","          0.93","75,668","37,087","          2.04","36,470","39,198","          0.93","75,688","37,324","          2.03","36,472","39,216","          0.93","75,551","37,514","          2.01","36,403","39,148","          0.93"
"대구광역시 중구 동인동(2711051700)","9,018","5,159","          1.75","4,457","4,561","          0.98","8,920","5,136","          1.74","4,412","4,508","          0.98","8,870","5,151","          1.72","4,383","4,487","          0.98","8,804","5,138","          1.71","4,358","4,446","          0.98"
"대구광역시 중구 삼덕동(2711054500)","6,486","3,725","          1.74","3,082","3,404","          0.91","6,490","3,741","          1.73","3,070","3,420","          0.90","6,557","3,812","          1.72","3,125","3,432","          0.91","6,611","3,869","          1.71","3,138","3,473","          0.90"
"대구광역시 중구 성내1동(2711056500)","4,789","3,067","          1.56","2,272","2,517","          0.90","4,826","3,093","          1.56","2,288","2,538","          0.90","4,875","3,150","          1.55","2,292","2,583","          0.89","4,919","3,210","          1.53","2,315","2,604","          0.89"
"대구광역시 중구 성내2동(2711057500)","4,416","2,678","          1.65","2,265","2,151","          1.05","4,415","2,686","          1.64","2,256","2,159","          1.04","4,451","2,726","          1.63","2,268","2,183","          1.04","4,458","2,746","          1.62","2,280","2,178","          1.05"
"대구광역시 중구 성내3동(2711058500)","5,183","2,464","          2.10","2,601","2,582","          1.01","5,161","2,450","          2.11","2,596","2,565","          1.01","5,152","2,451","          2.10","2,596","2,556","          1.02","5,126","2,459","          2.08","2,581","2,545","          1.01"
"대구광역시 중구 대신동(2711059500)","8,227","3,320","          2.48","4,005","4,222","          0.95","8,189","3,314","          2.47","3,978","4,211","          0.94","8,180","3,317","          2.47","3,971","4,209","          0.94","8,151","3,318","          2.46","3,959","4,192","          0.94"
"대구광역시 중구 남산1동(2711064000)","5,152","2,755","          1.87","2,482","2,670","          0.93","5,151","2,759","          1.87","2,475","2,676","          0.92","5,151","2,779","          1.85","2,476","2,675","          0.93","5,151","2,800","          1.84","2,468","2,683","          0.92"
"대구광역시 중구 남산2동(2711065000)","3,284","1,706","          1.92","1,589","1,695","          0.94","3,291","1,701","          1.93","1,584","1,707","          0.93","3,300","1,713","          1.93","1,588","1,712","          0.93","3,295","1,721","          1.91","1,585","1,710","          0.93"
"대구광역시 중구 남산3동(2711066000)","7,069","2,916","          2.42","3,285","3,784","          0.87","7,058","2,921","          2.42","3,283","3,775","          0.87","7,040","2,922","          2.41","3,273","3,767","          0.87","7,005","2,927","          2.39","3,251","3,754","          0.87"
"대구광역시 중구 남산4동(2711067000)","12,118","4,854","          2.50","5,755","6,363","          0.90","12,080","4,830","          2.50","5,734","6,346","          0.90","12,063","4,838","          2.49","5,724","6,339","          0.90","12,002","4,841","          2.48","5,688","6,314","          0.90"
"대구광역시 중구 대봉1동(2711068000)","7,629","3,208","          2.38","3,599","4,030","          0.89","7,631","3,223","          2.37","3,592","4,039","          0.89","7,597","3,230","          2.35","3,574","4,023","          0.89","7,591","3,245","          2.34","3,578","4,013","          0.89"
"대구광역시 중구 대봉2동(2711069000)","2,457","1,236","          1.99","1,201","1,256","          0.96","2,456","1,233","          1.99","1,202","1,254","          0.96","2,452","1,235","          1.99","1,202","1,250","          0.96","2,438","1,240","          1.97","1,202","1,236","          0.97"
