"행정구역","2020년01월_거주자 인구수","2020년01월_세대수","2020년01월_세대당 인구","2020년01월_남자 인구수","2020년01월_여자 인구수","2020년01월_남여 비율","2020년02월_거주자 인구수","2020년02월_세대수","2020년02월_세대당 인구","2020년02월_남자 인구수","2020년02월_여자 인구수","2020년02월_남여 비율","2020년03월_거주자 인구수","2020년03월_세대수","2020년03월_세대당 인구","2020년03월_남자 인구수","2020년03월_여자 인구수","2020년03월_남여 비율","2020년04월_거주자 인구수","2020년04월_세대수","2020년04월_세대당 인구","2020년04월_남자 인구수","2020년04월_여자 인구수","2020년04월_남여 비율"
"대구광역시 달서구 (2729000000)","565,780","229,896","          2.46","279,546","286,234","          0.98","564,831","230,186","          2.45","279,011","285,820","          0.98","565,188","231,245","          2.44","279,061","286,127","          0.98","564,645","232,127","          2.43","278,757","285,888","          0.98"
"대구광역시 달서구 성당동(2729051500)","24,562","10,804","          2.27","11,946","12,616","          0.95","24,479","10,801","          2.27","11,906","12,573","          0.95","24,394","10,793","          2.26","11,855","12,539","          0.95","24,352","10,800","          2.25","11,849","12,503","          0.95"
"대구광역시 달서구 두류1.2동(2729053500)","15,381","8,279","          1.86","7,487","7,894","          0.95","15,367","8,279","          1.86","7,478","7,889","          0.95","15,306","8,270","          1.85","7,445","7,861","          0.95","15,307","8,326","          1.84","7,433","7,874","          0.94"
"대구광역시 달서구 두류3동(2729055000)","8,980","4,137","          2.17","4,361","4,619","          0.94","8,952","4,147","          2.16","4,334","4,618","          0.94","8,948","4,175","          2.14","4,323","4,625","          0.93","8,857","4,167","          2.13","4,287","4,570","          0.94"
"대구광역시 달서구 감삼동(2729055500)","27,822","11,432","          2.43","13,655","14,167","          0.96","27,764","11,451","          2.42","13,624","14,140","          0.96","27,952","11,576","          2.41","13,725","14,227","          0.96","27,992","11,643","          2.40","13,750","14,242","          0.97"
"대구광역시 달서구 죽전동(2729056300)","14,727","6,930","          2.13","7,311","7,416","          0.99","14,697","6,952","          2.11","7,299","7,398","          0.99","14,700","6,972","          2.11","7,289","7,411","          0.98","14,685","7,025","          2.09","7,293","7,392","          0.99"
"대구광역시 달서구 장기동(2729056800)","17,719","7,030","          2.52","8,747","8,972","          0.97","17,698","7,042","          2.51","8,734","8,964","          0.97","17,653","7,051","          2.50","8,706","8,947","          0.97","17,725","7,095","          2.50","8,757","8,968","          0.98"
"대구광역시 달서구 용산1동(2729057100)","32,212","12,144","          2.65","16,179","16,033","          1.01","32,096","12,148","          2.64","16,111","15,985","          1.01","32,078","12,197","          2.63","16,092","15,986","          1.01","32,059","12,261","          2.61","16,082","15,977","          1.01"
"대구광역시 달서구 용산2동(2729057200)","30,064","11,199","          2.68","15,145","14,919","          1.02","29,938","11,198","          2.67","15,084","14,854","          1.02","29,924","11,246","          2.66","15,078","14,846","          1.02","29,863","11,265","          2.65","15,041","14,822","          1.01"
"대구광역시 달서구 이곡1동(2729057600)","23,860","9,021","          2.64","12,005","11,855","          1.01","23,849","9,035","          2.64","11,997","11,852","          1.01","23,887","9,086","          2.63","12,001","11,886","          1.01","23,846","9,116","          2.62","11,982","11,864","          1.01"
