,name,cur_pop,lat,lng
0,대구광역시 북구 고성동(2723051000),"4,068",35.881908,128.583857
1,대구광역시 북구 칠성동(2723052600),"23,443",35.879243,128.599863
2,대구광역시 북구 침산1동(2723055000),"4,239",35.890358,128.581161
3,대구광역시 북구 침산2동(2723056000),"19,612",35.887341,128.597177
4,대구광역시 북구 침산3동(2723057000),"20,731",35.892201,128.589415
5,대구광역시 북구 산격1동(2723061000),"9,641",35.892626,128.59466899999998
6,대구광역시 북구 산격2동(2723062000),"11,376",35.9018,128.609216
7,대구광역시 북구 산격3동(2723063000),"8,933",35.893547999999996,128.608444
8,대구광역시 북구 산격4동(2723063100),"8,661",35.892406,128.60437
9,대구광역시 북구 대현동(2723064500),"18,480",35.884266,128.608141
10,대구광역시 북구 복현1동(2723067100),"7,423",35.893606,128.618381
11,대구광역시 북구 복현2동(2723067200),"27,662",35.895417,128.625429
12,대구광역시 북구 검단동(2723068000),"6,950",35.917235,128.622432
13,대구광역시 북구 무태조야동(2723069500),"30,035",35.921366,128.59708899999998
14,대구광역시 북구 관문동(2723071500),"37,663",35.90168,128.542127
15,대구광역시 북구 태전1동(2723072500),"22,445",35.924091,128.543244
16,대구광역시 북구 태전2동(2723073500),"25,072",35.921506,128.548811
17,대구광역시 북구 구암동(2723074500),"37,021",35.932244,128.567437
18,대구광역시 북구 관음동(2723075000),"17,355",35.944682,128.54014899999999
19,대구광역시 북구 읍내동(2723077000),"27,284",35.959413,128.543275
20,대구광역시 북구 동천동(2723078000),"29,501",35.939331,128.55928600000001
21,대구광역시 북구 노원동(2723079000),"12,355",35.890193,128.576042
22,대구광역시 북구 국우동(2723080000),"24,315",35.948019,128.587701
23,대구광역시 달서구 성당동(2729051500),"24,352",35.844571,128.556307
24,대구광역시 달서구 두류1.2동(2729053500),"15,307",35.853715,128.555396
25,대구광역시 달서구 두류3동(2729055000),"8,857",35.853715,128.555396
26,대구광역시 달서구 감삼동(2729055500),"27,992",35.849176,128.540651
27,대구광역시 달서구 죽전동(2729056300),"14,685",35.854475,128.536923
28,대구광역시 달서구 장기동(2729056800),"17,725",35.845809,128.52358
29,대구광역시 달서구 용산1동(2729057100),"32,059",35.856590999999995,128.531147
30,대구광역시 달서구 용산2동(2729057200),"29,863",35.858492,128.523298
31,대구광역시 달서구 이곡1동(2729057600),"23,846",35.851642,128.510688
32,대구광역시 달서구 이곡2동(2729057700),"16,835",35.855672,128.501679
33,대구광역시 달서구 신당동(2729058500),"31,707",35.856765,128.49245200000001
34,대구광역시 달서구 본리동(2729059000),"21,981",35.839957,128.538231
35,대구광역시 달서구 월성1동(2729060100),"44,051",35.819585,128.522523
36,대구광역시 달서구 월성2동(2729060200),"16,710",35.831006,128.528287
37,대구광역시 달서구 진천동(2729061500),"77,275",35.81273,128.525665
38,대구광역시 달서구 상인1동(2729062400),"40,013",35.814004,128.54527099999999
39,대구광역시 달서구 상인2동(2729062500),"20,905",35.812566,128.53623100000002
40,대구광역시 달서구 상인3동(2729062600),"11,603",35.810151,128.550124
41,대구광역시 달서구 도원동(2729062800),"36,948",35.794903000000005,128.557398
42,대구광역시 달서구 송현1동(2729063000),"19,818",35.829370000000004,128.553378
43,대구광역시 달서구 송현2동(2729064000),"18,734",35.832822,128.545555
44,대구광역시 달서구 본동(2729065000),"13,379",35.833732,128.539639
45,대구광역시 달성군 화원읍(2771025000),"48,608",35.786488,128.512007
46,대구광역시 달성군 논공읍(2771025300),"4,501",35.751967,128.43402
47,대구광역시 달성군 논공읍공단출장소(2771025400),"14,039",35.751967,128.43402
48,대구광역시 달성군 다사읍(2771025600),"51,147",35.872454,128.466105
49,대구광역시 달성군 다사읍서재출장소(2771025700),"38,674",35.872454,128.466105
50,대구광역시 달성군 유가읍(2771025900),"29,896",35.683289,128.486998
51,대구광역시 달성군 옥포읍(2771026200),"24,608",35.768440999999996,128.40624
52,대구광역시 달성군 현풍읍(2771026500),"23,450",35.688545,128.34901200000002
53,대구광역시 달성군 가창면(2771031000),"7,958",35.757807,128.61944
54,대구광역시 달성군 하빈면(2771033000),"3,696",35.897973,128.429277
55,대구광역시 달성군 구지면(2771038000),"9,433",35.656487,128.4029
56,대구광역시 동구 신암1동(2714051000),"7,815",128.61632600000002,35.88427
57,대구광역시 동구 신암2동(2714052000),"11,083",128.61271599999998,35.880052
58,대구광역시 동구 신암3동(2714053000),"8,797",128.62313400000002,35.879638
59,대구광역시 동구 신암4동(2714054000),"13,244",128.62929,35.884978000000004
60,대구광역시 동구 신암5동(2714054100),"6,585",128.63278400000002,35.889844000000004
61,대구광역시 동구 신천1.2동(2714055500),"13,434",128.624878,35.874608
62,대구광역시 동구 신천3동(2714057000),"12,553",128.623643,35.875363
63,대구광역시 동구 신천4동(2714058000),"7,618",128.62926299999998,35.871790999999995
64,대구광역시 동구 효목1동(2714059000),"14,199",128.644835,35.881614
65,대구광역시 동구 효목2동(2714060000),"14,996",128.638069,35.87764
66,대구광역시 동구 도평동(2714061500),"4,234",128.65403500000002,35.910920000000004
67,대구광역시 동구 불로.봉무동(2714062000),"26,811",128.635483,35.886576
68,대구광역시 동구 지저동(2714064000),"10,167",128.64189199999998,35.899837
69,대구광역시 동구 동촌동(2714065500),"16,098",128.64963999999998,35.886879
70,대구광역시 동구 방촌동(2714067000),"18,600",128.66816,35.884415999999995
71,대구광역시 동구 해안동(2714068500),"15,363",128.671663,35.882134
72,대구광역시 동구 안심1동(2714072000),"43,989",128.70205,35.870397
73,대구광역시 동구 안심2동(2714073000),"10,265",128.687078,35.875531
74,대구광역시 동구 안심3.4동(2714074500),"69,421",128.71071,35.870472
75,대구광역시 동구 공산동(2714076000),"15,351",128.644146,35.940185
76,대구광역시 중구 동인동(2711051700),"8,804",35.867884000000004,128.609112
77,대구광역시 중구 삼덕동(2711054500),"6,611",35.865559999999995,128.608994
78,대구광역시 중구 성내1동(2711056500),"4,919",35.868995,128.598058
79,대구광역시 중구 성내2동(2711057500),"4,458",35.868356,128.59038999999999
80,대구광역시 중구 성내3동(2711058500),"5,126",35.872562,128.585649
81,대구광역시 중구 대신동(2711059500),"8,151",35.86715,128.57891
82,대구광역시 중구 남산1동(2711064000),"5,151",35.859379,128.590435
83,대구광역시 중구 남산2동(2711065000),"3,295",35.864025,128.589517
84,대구광역시 중구 남산3동(2711066000),"7,005",35.859899,128.585578
85,대구광역시 중구 남산4동(2711067000),"12,002",35.858238,128.58049499999998
86,대구광역시 중구 대봉1동(2711068000),"7,591",35.861671,128.60438100000002
87,대구광역시 중구 대봉2동(2711069000),"2,438",35.858198,128.599704
88,대구광역시 남구 이천동(2720051500),"12,461",35.851507,128.602134
89,대구광역시 남구 봉덕1동(2720053000),"9,126",35.84557,128.597904
