"행정구역","2020년01월_거주자 인구수","2020년01월_세대수","2020년01월_세대당 인구","2020년01월_남자 인구수","2020년01월_여자 인구수","2020년01월_남여 비율","2020년02월_거주자 인구수","2020년02월_세대수","2020년02월_세대당 인구","2020년02월_남자 인구수","2020년02월_여자 인구수","2020년02월_남여 비율","2020년03월_거주자 인구수","2020년03월_세대수","2020년03월_세대당 인구","2020년03월_남자 인구수","2020년03월_여자 인구수","2020년03월_남여 비율","2020년04월_거주자 인구수","2020년04월_세대수","2020년04월_세대당 인구","2020년04월_남자 인구수","2020년04월_여자 인구수","2020년04월_남여 비율"
"대구광역시 서구 (2717000000)","172,612","80,669","          2.14","86,482","86,130","          1.00","172,215","80,667","          2.13","86,281","85,934","          1.00","171,931","80,833","          2.13","86,125","85,806","          1.00","171,771","81,227","          2.11","86,012","85,759","          1.00"
"대구광역시 서구 내당1동(2717051000)","8,802","4,096","          2.15","4,340","4,462","          0.97","8,771","4,093","          2.14","4,324","4,447","          0.97","8,748","4,099","          2.13","4,316","4,432","          0.97","8,763","4,131","          2.12","4,324","4,439","          0.97"
"대구광역시 서구 내당2.3동(2717052500)","10,383","5,065","          2.05","5,100","5,283","          0.97","10,376","5,069","          2.05","5,107","5,269","          0.97","10,352","5,080","          2.04","5,089","5,263","          0.97","10,320","5,088","          2.03","5,055","5,265","          0.96"
"대구광역시 서구 내당4동(2717054000)","17,173","7,785","          2.21","8,360","8,813","          0.95","17,186","7,790","          2.21","8,353","8,833","          0.95","17,169","7,833","          2.19","8,324","8,845","          0.94","17,149","7,882","          2.18","8,308","8,841","          0.94"
"대구광역시 서구 비산1동(2717055000)","9,958","4,744","          2.10","5,081","4,877","          1.04","9,900","4,727","          2.09","5,051","4,849","          1.04","9,868","4,734","          2.08","5,028","4,840","          1.04","9,854","4,754","          2.07","5,024","4,830","          1.04"
"대구광역시 서구 비산2.3동(2717056500)","9,666","5,034","          1.92","4,845","4,821","          1.00","9,618","5,014","          1.92","4,815","4,803","          1.00","9,622","5,032","          1.91","4,817","4,805","          1.00","9,653","5,064","          1.91","4,830","4,823","          1.00"
"대구광역시 서구 비산4동(2717058000)","10,070","4,549","          2.21","4,943","5,127","          0.96","10,058","4,559","          2.21","4,948","5,110","          0.97","10,077","4,588","          2.20","4,968","5,109","          0.97","10,071","4,616","          2.18","4,956","5,115","          0.97"
"대구광역시 서구 비산5동(2717059000)","6,432","3,296","          1.95","3,277","3,155","          1.04","6,417","3,301","          1.94","3,268","3,149","          1.04","6,445","3,335","          1.93","3,300","3,145","          1.05","6,489","3,385","          1.92","3,320","3,169","          1.05"
"대구광역시 서구 비산6동(2717060000)","7,931","3,746","          2.12","3,938","3,993","          0.99","7,903","3,739","          2.11","3,919","3,984","          0.98","7,884","3,748","          2.10","3,918","3,966","          0.99","7,869","3,765","          2.09","3,898","3,971","          0.98"
"대구광역시 서구 비산7동(2717061000)","10,938","5,727","          1.91","5,763","5,175","          1.11","10,939","5,747","          1.90","5,773","5,166","          1.12","10,923","5,762","          1.90","5,771","5,152","          1.12","10,968","5,807","          1.89","5,795","5,173","          1.12"
"대구광역시 서구 평리1동(2717062000)","8,008","3,827","          2.09","4,051","3,957","          1.02","7,960","3,822","          2.08","4,023","3,937","          1.02","7,965","3,827","          2.08","4,022","3,943","          1.02","7,956","3,836","          2.07","4,015","3,941","          1.02"
"대구광역시 서구 평리2동(2717063000)","8,291","3,546","          2.34","4,063","4,228","          0.96","8,275","3,547","          2.33","4,051","4,224","          0.96","8,240","3,550","          2.32","4,034","4,206","          0.96","8,215","3,564","          2.30","4,016","4,199","          0.96"
"대구광역시 서구 평리3동(2717064000)","10,308","4,989","          2.07","5,205","5,103","          1.02","10,295","4,994","          2.06","5,196","5,099","          1.02","10,256","4,984","          2.06","5,176","5,080","          1.02","10,238","5,010","          2.04","5,172","5,066","          1.02"
"대구광역시 서구 평리4동(2717065000)","18,368","8,117","          2.26","9,088","9,280","          0.98","18,311","8,124","          2.25","9,048","9,263","          0.98","18,315","8,149","          2.25","9,035","9,280","          0.97","18,302","8,194","          2.23","9,028","9,274","          0.97"
"대구광역시 서구 평리5동(2717066000)","2,114","1,035","          2.04","1,101","1,013","          1.09","2,079","1,020","          2.04","1,082","997","          1.09","2,014","988","          2.04","1,049","965","          1.09","1,970","970","          2.03","1,026","944","          1.09"
"대구광역시 서구 평리6동(2717066100)","5,438","2,534","          2.15","2,870","2,568","          1.12","5,418","2,529","          2.14","2,861","2,557","          1.12","5,388","2,515","          2.14","2,850","2,538","          1.12","5,380","2,528","          2.13","2,854","2,526","          1.13"
"대구광역시 서구 상중이동(2717067500)","20,650","8,552","          2.41","10,361","10,289","          1.01","20,650","8,572","          2.41","10,368","10,282","          1.01","20,664","8,603","          2.40","10,368","10,296","          1.01","20,592","8,614","          2.39","10,345","10,247","          1.01"
"대구광역시 서구 원대동(2717069500)","8,082","4,027","          2.01","4,096","3,986","          1.03","8,059","4,020","          2.00","4,094","3,965","          1.03","8,001","4,006","          2.00","4,060","3,941","          1.03","7,982","4,019","          1.99","4,046","3,936","          1.03"
