"행정구역","2020년01월_거주자 인구수","2020년01월_세대수","2020년01월_세대당 인구","2020년01월_남자 인구수","2020년01월_여자 인구수","2020년01월_남여 비율","2020년02월_거주자 인구수","2020년02월_세대수","2020년02월_세대당 인구","2020년02월_남자 인구수","2020년02월_여자 인구수","2020년02월_남여 비율","2020년03월_거주자 인구수","2020년03월_세대수","2020년03월_세대당 인구","2020년03월_남자 인구수","2020년03월_여자 인구수","2020년03월_남여 비율","2020년04월_거주자 인구수","2020년04월_세대수","2020년04월_세대당 인구","2020년04월_남자 인구수","2020년04월_여자 인구수","2020년04월_남여 비율"
"대구광역시 수성구 (2726000000)","425,686","164,892","          2.58","206,488","219,198","          0.94","425,667","165,193","          2.58","206,500","219,167","          0.94","425,744","166,086","          2.56","206,522","219,222","          0.94","425,176","166,671","          2.55","206,125","219,051","          0.94"
"대구광역시 수성구 범어1동(2726051000)","16,612","6,030","          2.75","7,945","8,667","          0.92","16,614","6,033","          2.75","7,938","8,676","          0.91","16,609","6,055","          2.74","7,934","8,675","          0.91","16,546","6,067","          2.73","7,903","8,643","          0.91"
"대구광역시 수성구 범어2동(2726052000)","15,433","6,595","          2.34","7,500","7,933","          0.95","15,412","6,608","          2.33","7,494","7,918","          0.95","15,456","6,666","          2.32","7,503","7,953","          0.94","15,433","6,709","          2.30","7,492","7,941","          0.94"
"대구광역시 수성구 범어3동(2726053000)","16,352","5,889","          2.78","7,819","8,533","          0.92","16,431","5,909","          2.78","7,853","8,578","          0.92","16,446","5,960","          2.76","7,866","8,580","          0.92","16,435","5,971","          2.75","7,860","8,575","          0.92"
"대구광역시 수성구 범어4동(2726054000)","18,960","6,147","          3.08","9,305","9,655","          0.96","18,915","6,144","          3.08","9,270","9,645","          0.96","18,847","6,148","          3.07","9,234","9,613","          0.96","18,794","6,154","          3.05","9,201","9,593","          0.96"
"대구광역시 수성구 만촌1동(2726055000)","23,644","8,741","          2.70","11,555","12,089","          0.96","23,606","8,741","          2.70","11,546","12,060","          0.96","23,579","8,797","          2.68","11,508","12,071","          0.95","23,512","8,847","          2.66","11,473","12,039","          0.95"
"대구광역시 수성구 만촌2동(2726056000)","11,766","5,063","          2.32","5,938","5,828","          1.02","11,701","5,043","          2.32","5,906","5,795","          1.02","11,655","5,052","          2.31","5,881","5,774","          1.02","11,623","5,075","          2.29","5,859","5,764","          1.02"
"대구광역시 수성구 만촌3동(2726056100)","20,245","6,793","          2.98","10,591","9,654","          1.10","20,527","6,880","          2.98","10,755","9,772","          1.10","20,572","6,922","          2.97","10,783","9,789","          1.10","20,560","6,921","          2.97","10,767","9,793","          1.10"
"대구광역시 수성구 수성1가동(2726057000)","18,849","7,105","          2.65","8,794","10,055","          0.87","18,885","7,128","          2.65","8,808","10,077","          0.87","18,878","7,157","          2.64","8,798","10,080","          0.87","18,828","7,176","          2.62","8,764","10,064","          0.87"
"대구광역시 수성구 수성2.3가동(2726058000)","12,361","4,645","          2.66","5,989","6,372","          0.94","12,371","4,650","          2.66","6,002","6,369","          0.94","12,343","4,665","          2.65","5,990","6,353","          0.94","12,340","4,681","          2.64","5,998","6,342","          0.95"
"대구광역시 수성구 수성4가동(2726059000)","15,576","5,945","          2.62","7,307","8,269","          0.88","15,531","5,939","          2.62","7,291","8,240","          0.88","15,461","5,931","          2.61","7,257","8,204","          0.88","15,351","5,906","          2.60","7,213","8,138","          0.89"
"대구광역시 수성구 황금1동(2726060100)","24,660","8,278","          2.98","11,877","12,783","          0.93","24,701","8,308","          2.97","11,899","12,802","          0.93","24,616","8,314","          2.96","11,864","12,752","          0.93","24,580","8,321","          2.95","11,844","12,736","          0.93"
"대구광역시 수성구 황금2동(2726060200)","11,356","5,576","          2.04","5,449","5,907","          0.92","11,283","5,565","          2.03","5,410","5,873","          0.92","11,318","5,614","          2.02","5,437","5,881","          0.92","11,295","5,633","          2.01","5,420","5,875","          0.92"
"대구광역시 수성구 중동(2726061000)","10,137","5,151","          1.97","5,034","5,103","          0.99","10,548","5,299","          1.99","5,234","5,314","          0.98","11,077","5,535","          2.00","5,496","5,581","          0.98","11,364","5,686","          2.00","5,617","5,747","          0.98"
"대구광역시 수성구 상동(2726062000)","16,850","7,645","          2.20","8,144","8,706","          0.94","16,818","7,648","          2.20","8,136","8,682","          0.94","16,801","7,688","          2.19","8,133","8,668","          0.94","16,782","7,732","          2.17","8,123","8,659","          0.94"
"대구광역시 수성구 파동(2726063000)","13,470","5,578","          2.41","6,566","6,904","          0.95","13,293","5,502","          2.42","6,474","6,819","          0.95","13,146","5,446","          2.41","6,391","6,755","          0.95","13,029","5,415","          2.41","6,329","6,700","          0.94"
"대구광역시 수성구 두산동(2726064000)","14,047","6,410","          2.19","6,827","7,220","          0.95","14,005","6,427","          2.18","6,809","7,196","          0.95","14,088","6,491","          2.17","6,852","7,236","          0.95","14,123","6,539","          2.16","6,850","7,273","          0.94"
"대구광역시 수성구 지산1동(2726065100)","22,960","10,347","          2.22","10,936","12,024","          0.91","22,899","10,362","          2.21","10,919","11,980","          0.91","22,907","10,423","          2.20","10,914","11,993","          0.91","22,856","10,462","          2.18","10,881","11,975","          0.91"
"대구광역시 수성구 지산2동(2726065200)","19,598","7,824","          2.50","9,314","10,284","          0.91","19,517","7,807","          2.50","9,271","10,246","          0.90","19,509","7,844","          2.49","9,262","10,247","          0.90","19,454","7,872","          2.47","9,217","10,237","          0.90"
"대구광역시 수성구 범물1동(2726066100)","11,978","5,844","          2.05","5,467","6,511","          0.84","11,954","5,847","          2.04","5,462","6,492","          0.84","11,890","5,852","          2.03","5,424","6,466","          0.84","11,858","5,865","          2.02","5,410","6,448","          0.84"
"대구광역시 수성구 범물2동(2726066200)","15,967","5,865","          2.72","7,764","8,203","          0.95","15,899","5,851","          2.72","7,724","8,175","          0.94","15,837","5,862","          2.70","7,690","8,147","          0.94","15,839","5,887","          2.69","7,680","8,159","          0.94"
"대구광역시 수성구 고산1동(2726067000)","32,099","10,963","          2.93","15,586","16,513","          0.94","32,061","10,987","          2.92","15,553","16,508","          0.94","31,993","11,023","          2.90","15,517","16,476","          0.94","31,884","11,039","          2.89","15,462","16,422","          0.94"
"대구광역시 수성구 고산2동(2726068000)","27,993","10,073","          2.78","13,924","14,069","          0.99","27,997","10,116","          2.77","13,924","14,073","          0.99","28,026","10,188","          2.75","13,964","14,062","          0.99","28,060","10,224","          2.74","13,967","14,093","          0.99"
